User/Employee ID,SalesmanCode,Full Name Alt1 (Auto),Job Grade,Position Name (TH),Position Level,Job Function,Division Name,Department Department Name,Section Section Name,Monthly Sales compensation,sales incentive ของเดือน,รอบการจ่าย Incentive,รูปแบบการจ่าย,Fix rate,Staff,Section,Dept Mgr,AD
222222,,,,,,MT AD,,,,6732,46113,46174,Variable,,0,0,0,6732
222223,#N/A,,,,,MT Department Manager,,,,5959,46113,46174,Variable,,0,0,5959,0
222234,#N/A,,,,,MT Department Manager,,,,5964,46113,46174,Variable,,0,0,5964,0
222235,#N/A,,,,,MT Section Manager (Cash & Carry),,,,6233.68,46113,46174,Variable,,0,6233.6842105263149,0,0
222237,#N/A,,,,,MT Section Manager (All sections excluded Cash & Carry),,,,6058.59,46113,46174,Variable,,0,6058.5858585858568,0,0
222238,#N/A,,,,,MT Section Manager (All sections excluded Cash & Carry),,,,5113.13,46113,46174,Variable,,0,5113.1313131313127,0,0
222208,#N/A,,,,,MT Section Manager (All sections excluded Cash & Carry),,,,5765,46113,46174,Variable,,0,5765,0,0
222236,#N/A,,,,,MT Section Manager (All sections excluded Cash & Carry),,,,5900,46113,46174,Variable,,0,5900,0,0
222229,#N/A,,,,,MT Supervisor (Cash & Carry),,,,5627,46113,46174,Variable,,5627,0,0,0
222204,#N/A,,,,,MT Supervisor (All sections excluded Cash & Carry),,,,6134,46113,46174,Variable,,6134,0,0,0
222207,5490000705,,,,,MT Supervisor (Cash & Carry),,,,6340,46113,46174,Variable,,6340,0,0,0
222216,5490000714,,,,,MT Supervisor (Cash & Carry),,,,5091,46113,46174,Variable,,5091,0,0,0
222219,5490000719,,,,,MT Supervisor (All sections excluded Cash & Carry),,,,5234,46113,46174,Variable,,5234,0,0,0
222205,5490000703,,,,,MT Supervisor (All sections excluded Cash & Carry),,,,5583,46113,46174,Variable,,5583,0,0,0
222206,5490000709,,,,,MT Supervisor (All sections excluded Cash & Carry),,,,6250,46113,46174,Variable,,6250,0,0,0
222215,5490000720,,,,,MT Supervisor (Cash & Carry),,,,5524,46113,46174,Variable,,5524,0,0,0
222213,5490000713,,,,,MT Supervisor (All sections excluded Cash & Carry),,,,5855,46113,46174,Variable,,5855,0,0,0
222214,5490000710,,,,,MT Supervisor (All sections excluded Cash & Carry),,,,5900,46113,46174,Variable,,5900,0,0,0
222218,5490000721,,,,,MT Supervisor (All sections excluded Cash & Carry),,,,5056,46113,46174,Variable,,5056,0,0,0
222203,5490000704,,,,,MT Supervisor (All sections excluded Cash & Carry),,,,5394,46113,46174,Variable,,5394,0,0,0
222212,5490000701,,,,,MT Supervisor (All sections excluded Cash & Carry),,,,5472,46113,46174,Variable,,5472,0,0,0
222211,5490000707,,,,,MT Supervisor (All sections excluded Cash & Carry),,,,5902,46113,46174,Variable,,5902,0,0,0
222210,5490000706,,,,,MT Staff,,,,4331,46113,46174,Variable,,4331,0,0,0
222202,5490000708,,,,,MT Staff,,,,3700,46113,46174,Variable,,3700,0,0,0
222209,5490000718,,,,,MT Staff,,,,4071,46113,46174,Variable,,4071,0,0,0
222201,5490000702,,,,,MT Staff,,,,4024,46113,46174,Variable,,4024,0,0,0
222220,5490000725,,,,,MT Staff,,,,3598,46113,46174,Variable,,3598,0,0,0
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
