ROW\COL,A,B,C,D
1,sales incentive ของเดือน,รอบการจ่าย Incentive (Variable),รอบการจ่าย Incentive (Fixed),Default column
2,2026-04-01 00:00:00,2026-06-01 00:00:00,2026-05-01 00:00:00,1
3,2026-05-01 00:00:00,2026-07-01 00:00:00,2026-06-01 00:00:00,2
4,2026-06-01 00:00:00,2026-08-01 00:00:00,2026-07-01 00:00:00,3
5,2026-07-01 00:00:00,2026-09-01 00:00:00,2026-08-01 00:00:00,4
6,2026-08-01 00:00:00,2026-10-01 00:00:00,2026-09-01 00:00:00,5
7,2026-09-01 00:00:00,2026-11-01 00:00:00,2026-10-01 00:00:00,6
8,2026-10-01 00:00:00,2026-12-01 00:00:00,2026-11-01 00:00:00,7
9,2026-11-01 00:00:00,2027-01-01 00:00:00,2026-12-01 00:00:00,8
10,2026-12-01 00:00:00,2027-02-01 00:00:00,2027-01-01 00:00:00,9
11,2027-01-01 00:00:00,2027-03-01 00:00:00,2027-02-01 00:00:00,10
12,2027-02-01 00:00:00,2027-04-01 00:00:00,2027-03-01 00:00:00,11
13,2027-03-01 00:00:00,2027-05-01 00:00:00,2027-04-01 00:00:00,12
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
