,,,,,,,,,3150,3325,,,,,,,,,,,,,,,,
,,,,,,,,,3150,3325,3500,3605,3780,3850,4025,4200,4550,,,,,,,,,
,,,Incentive base,,,,,Money,-0.1,-0.05,0,0.03,0.08,0.1,0.15,0.2,0.3,,,Simulation,,,,,,
,,Depot,Now,New,,Incentive $,3500,GOAL,0.9,0.95,1,1.03,1.06,1.1000000000000001,1.1499999999999999,1.2,1.3,,,,,45566,45597,45627,Total,
,,Area Manger,5000,5000,,,,,,,,,,,,,,,,Real ,Sales (1-2-3-4),5000,5000,5000,15000,
,,Depocho,4000,4000,,G1(CORE),0.08,A,252,266,280,288.40000000000003,302.40000000000003,308,322,336,364,,,,,,,,,
,,D.Depocho,4000,4000,,,0.13,R,409.5,432.25,455,468.65000000000003,491.40000000000003,500.5,523.25,546,591.5,,,New Metod,Sales 1,6000,5000,4500,15500,
,,CV,2500,2500,,,0.18,B,567,598.5,630,648.9,680.4,693,724.5,756,819,,,,Sales 2,1114.4000000000001,5200,5000,11314.4,
,,Driver,1200,1200,,,,,,,,,,,,,,,,,Sales3,5000,4900,6500,16400,1.0933333333333333
,,CVFV,,2500,,G2(GD),0.05,AP,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,,Sales 4,4800,4000,5000,13800,
,,WSF,,3500,,,0.06,Q,189,199.5,210,216.29999999999998,226.79999999999998,231,241.5,252,273,,,,,,,Average,14650,-2.3333333333333317E-2
,,WH,,3500,,,7.0000000000000007E-2,M,220.50000000000003,232.75000000000003,245.00000000000003,252.35000000000002,264.60000000000002,269.5,281.75,294,318.50000000000006,,,,,,,,,
,,,,,,,7.0000000000000007E-2,NS,220.50000000000003,232.75000000000003,245.00000000000003,252.35000000000002,264.60000000000002,269.5,281.75,294,318.50000000000006,,,,,,,,,
,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,G3(BB),0.13,Y,409.5,432.25,455,468.65000000000003,491.40000000000003,500.5,523.25,546,591.5,,,Cascade concept,,,,,,
,,,,,,,0.13,P,409.5,432.25,455,468.65000000000003,491.40000000000003,500.5,523.25,546,591.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Salesman,Incentive,,,,,
,AP,Q,M,NS,,Others,0.05,T,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,,,,,,,
0,157.5,189,220.50000000000003,220.50000000000003,,,0.05,RK,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,All Depot Salesman,Depocho,incentive,,,,
0.90000999999999998,166.25,199.5,232.75000000000003,232.75000000000003,,,,,,,,,,,,,,,,,,,,,,
0.95001000000000002,175,210,245.00000000000003,245.00000000000003,,,,,,,,,,,,,,,,All Area depot result,Area Manager,Incentive,,,,
1.0000100000000001,180.25,216.29999999999998,252.35000000000002,252.35000000000002,,,,,,,,,,,,,,,,,,,,,,
1.0300100000000001,189,226.79999999999998,264.60000000000002,264.60000000000002,,,,,,,,,,,,,,,,All Area manager Result,Division manager,Incetive,,,,
1.0600100000000001,192.5,231,269.5,269.5,,,,,,,,,,,,,,,,,,,,,,
1.1000100000000002,201.25,241.5,281.75,281.75,,,,,,,,,,,,,,,,,,,,,,
1.15001,210,252,294,294,,,,,,,,,,,,,,,,,,,,,,
1.20001,227.5,273,318.50000000000006,318.50000000000006,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1.0000000000000002,,,,,,,,,,,,,,,,,,,
,,,,,,,,TOTAL,3150,3325,3500,3605,3780,3850,4025,4200,4550,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,EXTRA,Special KPI,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,G1,,,,,,,308,,,,,,,,,,,,
,,,,,,,G2,,157.5,,,,,,,,,,,,,,,,,
,,,,,,,G3,,,,,468.65000000000003,,,,,,,,,,,,,,
,,,,,,,Ot,,,,,180.25,,,,,,,,,,,,,,
,,,,,,,TOTAL,1114.4000000000001,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Extreme,<80%,80% to <90%,90% to <95%,95% to <100%,100% to <105%,105% to <110%,110% to <115%,115% to < 120%,120% to <130%,>130%,,,,,,,,,
,,,,,,,,0,1200,1350,1425,1500,1575,1725,1875,1950,2100,,,,,,,,,
,,,,,,,Money,,-0.2,-0.1,-0.05,,0.05,0.15,0.25,0.3,0.4,,,,,,,,,
,,,,,,,Option1,<80%,80% to <90%,90% to <95%,95% to <100%,1,>100% to <=105%,>105% to <=110%,>110% to <=115%,>115% to < =120%,>120% to > 130%,,,,,,,,,
,,,,,,,G1,252,252,266,280,288.40000000000003,302.40000000000003,308,322,336,364,,,,,,,,,
,,,,,,,G2,157.5,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,,,,,,,
,,,,,,,G3,409.5,409.5,432.25,455,468.65000000000003,491.40000000000003,500.5,523.25,546,591.5,,,,,,,,,
,,,,,,,G4,157.5,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,,,,,,,
