,,,,0,0.90010000000000001,0.95009999999999994,1.0001,1.0301,1.0601,1.1001000000000001,1.1500999999999999,1.2000999999999999,1.3001,,
Top WS,,1,,3600,3800,4000,4120,4320,4400,4600,4800,5200,,,
,,,Money,-0.1,-0.05,0,0.03,0.08,0.1,0.15,0.2,0.3,,,
,Incentive $,4000,GOAL,0.9,0.95,1,1.03,1.06,1.1000000000000001,1.1499999999999999,1.2,1.3,,,
,,,,2,3,4,5,6,7,8,9,10,,,
,G1(CORE),0.05,A,180,190,200,206,216,220,230,240,260,,,
,,0.1,R,360,380,400,412,432,440,460,480,520,,,
,,0.2,B,720,760,800,824,864,880,920,960,1040,,,
,,,,,,,,,,,,,,,
,G2(GD),0.05,AP,180,190,200,206,216,220,230,240,260,,,
,,0.1,Q,360,380,400,412,432,440,460,480,520,,,
,,0.05,M,180,190,200,206,216,220,230,240,260,,,
,,0.1,NS,360,380,400,412,432,440,460,480,520,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,G3(BB),0.15,Y,540,570,600,618,648,660,690,720,780,,,
,,0.1,P,360,380,400,412,432,440,460,480,520,,,
,,,,,,,,,,,,,,,
,Others,0.05,T,180,190,200,206,216,220,230,240,260,,,
,,0.05,RK,180,190,200,206,216,220,230,240,260,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
WS SF,,1,,3150,3325,3500,3605,3780,3850,4025,4200,4550,,,
,,,Money,-0.1,-0.05,0,0.03,0.08,0.1,0.15,0.2,0.3,,,
,Incentive $,3500,GOAL,0.9,0.95,1,1.03,1.06,1.1000000000000001,1.1499999999999999,1.2,1.3,,,
,,,,2,3,4,5,6,7,8,9,10,,,
,G1(CORE),0.05,A,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,
,,0.1,R,315,332.5,350,360.5,378,385,402.5,420,455,,,
,,0.1,B,315,332.5,350,360.5,378,385,402.5,420,455,,,
,,,,,,,,,,,,,,,
,G2(GD),0.05,AP,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,
,,0.1,Q,315,332.5,350,360.5,378,385,402.5,420,455,,,
,,0.1,M,315,332.5,350,360.5,378,385,402.5,420,455,,,
,,0.1,NS,315,332.5,350,360.5,378,385,402.5,420,455,,,
,,0,0,0,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,,,,,
,G3(BB),0.15,Y,472.5,498.75,525,540.75,567,577.5,603.75,630,682.5,,,
,,0.15,P,472.5,498.75,525,540.75,567,577.5,603.75,630,682.5,,,
,,,,,,,,,,,,,,,
,Others,0.05,T,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,
,,0.05,RK,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
WS WH,,1,,3150,3325,3500,3605,3780,3850,4025,4200,4550,,,
,,,Money,-0.1,-0.05,0,0.03,0.08,0.1,0.15,0.2,0.3,,,
,Incentive $,3500,GOAL,0.9,0.95,1,1.03,1.06,1.1000000000000001,1.1499999999999999,1.2,1.3,,,
,,,,2,3,4,5,6,7,8,9,10,,,
,G1(CORE),0.1,A,315,332.5,350,360.5,378,385,402.5,420,455,,,
,,0.15,R,472.5,498.75,525,540.75,567,577.5,603.75,630,682.5,,,
,,0.25,B,787.5,831.25,875,901.25,945,962.5,1006.25,1050,1137.5,,,
,,,,,,,,,,,,,,,
,G2(GD),0.05,AP,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,
,,0.05,Q,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,
,,0.05,M,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,
,,0.05,NS,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,
,,0,0,0,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,,,,,
,G3(BB),0.1,Y,315,332.5,350,360.5,378,385,402.5,420,455,,,
,,0.1,P,315,332.5,350,360.5,378,385,402.5,420,455,,,
,,,,,,,,,,,,,,,
,Others,0.05,T,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,
,,0.05,RK,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SF WH,,1,,3150,3325,3500,3605,3780,3850,4025,4200,4550,,,
,,,Money,-0.1,-0.05,0,0.03,0.08,0.1,0.15,0.2,0.3,,,
,Incentive $,3500,GOAL,0.9,0.95,1,1.03,1.06,1.1000000000000001,1.1499999999999999,1.2,1.3,,,
,,,,2,3,4,5,6,7,8,9,10,,,
,G1(CORE),0.08,A,252,266,280,288.40000000000003,302.40000000000003,308,322,336,364,,,
,,0.13,R,409.5,432.25,455,468.65000000000003,491.40000000000003,500.5,523.25,546,591.5,,,
,,0.18,B,567,598.5,630,648.9,680.4,693,724.5,756,819,,,
,,0,0,0,0,0,0,0,0,0,0,0,,,
,G2(GD),0.05,AP,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,
,,0.06,Q,189,199.5,210,216.29999999999998,226.79999999999998,231,241.5,252,273,,,
,,7.0000000000000007E-2,M,220.50000000000003,232.75000000000003,245.00000000000003,252.35000000000002,264.60000000000002,269.5,281.75,294,318.50000000000006,,,
,,7.0000000000000007E-2,NS,220.50000000000003,232.75000000000003,245.00000000000003,252.35000000000002,264.60000000000002,269.5,281.75,294,318.50000000000006,,,
,,0,0,0,0,0,0,0,0,0,0,0,,,
,,0,0,0,0,0,0,0,0,0,0,0,,,
,G3(BB),0.13,Y,409.5,432.25,455,468.65000000000003,491.40000000000003,500.5,523.25,546,591.5,,,
,,0.13,P,409.5,432.25,455,468.65000000000003,491.40000000000003,500.5,523.25,546,591.5,,,
,,0,0,0,0,0,0,0,0,0,0,0,,,
,Others,0.05,T,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,
,,0.05,RK,157.5,166.25,175,180.25,189,192.5,201.25,210,227.5,,,
