User/Employee ID,SalesmanCode,Full Name Alt1 (Auto),Job Grade,Position Name (TH),Position Level,Job Function,Division Name,Department Department Name,Section Section Name,Monthly Sales compensation,sales incentive ของเดือน,รอบการจ่าย Incentive,รูปแบบการจ่าย,Fix rate,Salesman,%Direct superior,Direct superior,Dept Mgr Code,%Dept Mgr,Dept Mgr,Div Mgr Code,%Div Mgr,Div Mgr
000002,,,,,Division Manager,TT Division Manager,Traditional Trade,,,5145.93,May-26,Jul-26,Variable,,0,,0,,,0,,1.0291856060606062,5145.9280303030309
000003,,,,,Department Manager,TT Area Manager/Dept Mgr,Traditional Trade,Sales Bangkok,,5145.93,May-26,Jul-26,Variable,,0,,0,,1.0291856060606062,5145.9280303030309,000002,,0
000004,110000,,,,Section Manager,TT Depot Cho,Traditional Trade,Sales Bangkok,Bangpoo,4336.97,May-26,Jul-26,Variable,,0,1.0842424242424242,4336.969696969697,000003,,0,,,0
000005,110001,,,,Supervisor,TT Deputy TT Deputy Depot Cho (Top W),Traditional Trade,Sales Bangkok,Bangpoo,4290,May-26,Jul-26,Variable,,4290,,0,,,0,,,0
000006,110002,,,,Staff,TT Deputy TT Deputy Depot Cho (Shop Front),Traditional Trade,Sales Bangkok,Bangpoo,3960.25,May-26,Jul-26,Variable,,3960.25,,0,,,0,,,0
000007,110003,,,,Staff,TT Deputy TT Deputy Depot Cho (Warehouse),Traditional Trade,Sales Bangkok,Bangpoo,3657.5,May-26,Jul-26,Variable,,3657.5,,0,,,0,,,0
000008,120000,,,,Section Manager,TT Depot Cho,Traditional Trade,Sales Bangkok,Nonthaburi,4118.18,May-26,Jul-26,Variable,,0,1.0295454545454545,4118.181818181818,000003,,0,,,0
000009,120001,,,,Supervisor,TT Deputy TT Deputy Depot Cho,Traditional Trade,Sales Bangkok,Nonthaburi,4120,May-26,Jul-26,Variable,,4120,,0,,,0,,,0
000010,120002,,,,Staff,TT Deputy TT Deputy Depot Cho,Traditional Trade,Sales Bangkok,Nonthaburi,4210,May-26,Jul-26,Variable,,4210,,0,,,0,,,0
000011,130000,,,,Section Manager,TT Depot Cho,Traditional Trade,Sales Bangkok,Pathum Thani,4059.39,May-26,Jul-26,Variable,,0,1.0148484848484847,4059.3939393939386,000003,,0,,,0
000012,130001,,,,Supervisor,TT Deputy TT Deputy Depot Cho (Top W),Traditional Trade,Sales Bangkok,Pathum Thani,4340,May-26,Jul-26,Variable,,4340,,0,,,0,,,0
000013,130002,,,,Staff,TT Deputy TT Deputy Depot Cho (Shop Front),Traditional Trade,Sales Bangkok,Pathum Thani,3673.25,May-26,Jul-26,Variable,,3673.25,,0,,,0,,,0
000014,130003,,,,Staff,TT Deputy TT Deputy Depot Cho (Warehouse),Traditional Trade,Sales Bangkok,Pathum Thani,3260.25,May-26,Jul-26,Variable,,3260.25,,0,,,0,,,0
000015,140000,,,,Section Manager,TT Depot Cho,Traditional Trade,Sales Bangkok,Pattanakan,4095,May-26,Jul-26,Variable,,0,1.0237499999999997,4094.9999999999991,000003,,0,,,0
000016,140001,,,,Supervisor,TT Deputy TT Deputy Depot Cho (Top W),Traditional Trade,Sales Bangkok,Pattanakan,4120,May-26,Jul-26,Variable,,4120,,0,,,0,,,0
000017,140002,,,,Staff,TT Deputy TT Deputy Depot Cho (Shop Front),Traditional Trade,Sales Bangkok,Pattanakan,3640,May-26,Jul-26,Variable,,3640,,0,,,0,,,0
000018,140003,,,,Supervisor,TT Deputy TT Deputy Depot Cho (Warehouse),Traditional Trade,Sales Bangkok,Pattanakan,3321.5,May-26,Jul-26,Variable,,3321.5,,0,,,0,,,0
000019,150000,,,,Section Manager,TT Depot Cho,Traditional Trade,Sales Bangkok,Ram Indra,4181.82,May-26,Jul-26,Variable,,0,1.0454545454545456,4181.8181818181829,000003,,0,,,0
000020,150001,,,,Supervisor,TT Deputy TT Deputy Depot Cho,Traditional Trade,Sales Bangkok,Ram Indra,4100,May-26,Jul-26,Variable,,4100,,0,,,0,,,0
000021,160000,,,,Section Manager,TT Depot Cho,Traditional Trade,Sales Bangkok,Thonburi,3909.09,May-26,Jul-26,Variable,,0,0.97727272727272707,3909.0909090909081,000003,,0,,,0
000022,160001,,,,Supervisor,TT Deputy TT Deputy Depot Cho,Traditional Trade,Sales Bangkok,Thonburi,4100,May-26,Jul-26,Variable,,4100,,0,,,0,,,0
000023,160002,,,,Supervisor,TT Deputy TT Deputy Depot Cho,Traditional Trade,Sales Bangkok,Thonburi,4050,May-26,Jul-26,Variable,,4050,,0,,,0,,,0
