"ws_type","period_code","sales_month","calc_run_id","detail_rows","hr_rows","incentive_staff","incentive_sect","incentive_dept","incentive_div","incentive_ad","special_kpi_bonus","total_variable"
"TOP_WS","FY2026-04","2026-04-01","2","247","24","27356.00","0.00","0.00","0.00","0.00","3386.00","30742.00"
"TOP_WS","FY2026-05","2026-05-01","1002","239","22","34020.00","0.00","0.00","0.00","0.00","6972.00","40992.00"
"TOP_WS","FY2026-06","2026-06-01","1003","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TOP_WS","FY2026-07","2026-07-01","1004","239","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TOP_WS","FY2026-08","2026-08-01","1005","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TOP_WS","FY2026-09","2026-09-01","1006","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TOP_WS","FY2026-10","2026-10-01","1007","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TOP_WS","FY2026-11","2026-11-01","1008","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TOP_WS","FY2026-12","2026-12-01","1009","239","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TOP_WS","FY2027-01","2027-01-01","1010","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TOP_WS","FY2027-02","2027-02-01","1011","239","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"TOP_WS","FY2027-03","2027-03-01","1012","239","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_SF","FY2026-04","2026-04-01","2","247","24","25362.75","0.00","0.00","0.00","0.00","0.00","25362.75"
"WS_SF","FY2026-05","2026-05-01","1002","239","22","28322.00","0.00","0.00","0.00","0.00","0.00","28322.00"
"WS_SF","FY2026-06","2026-06-01","1003","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_SF","FY2026-07","2026-07-01","1004","239","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_SF","FY2026-08","2026-08-01","1005","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_SF","FY2026-09","2026-09-01","1006","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_SF","FY2026-10","2026-10-01","1007","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_SF","FY2026-11","2026-11-01","1008","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_SF","FY2026-12","2026-12-01","1009","239","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_SF","FY2027-01","2027-01-01","1010","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_SF","FY2027-02","2027-02-01","1011","239","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_SF","FY2027-03","2027-03-01","1012","239","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_WH","FY2026-04","2026-04-01","2","247","24","26664.75","0.00","0.00","0.00","0.00","0.00","26664.75"
"WS_WH","FY2026-05","2026-05-01","1002","239","22","30605.75","0.00","0.00","0.00","0.00","0.00","30605.75"
"WS_WH","FY2026-06","2026-06-01","1003","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_WH","FY2026-07","2026-07-01","1004","239","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_WH","FY2026-08","2026-08-01","1005","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_WH","FY2026-09","2026-09-01","1006","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_WH","FY2026-10","2026-10-01","1007","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_WH","FY2026-11","2026-11-01","1008","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_WH","FY2026-12","2026-12-01","1009","239","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_WH","FY2027-01","2027-01-01","1010","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_WH","FY2027-02","2027-02-01","1011","239","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"WS_WH","FY2027-03","2027-03-01","1012","239","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"SF_WH","FY2026-04","2026-04-01","2","247","24","26197.50","0.00","0.00","0.00","0.00","0.00","26197.50"
"SF_WH","FY2026-05","2026-05-01","1002","239","22","29673.00","0.00","0.00","0.00","0.00","0.00","29673.00"
"SF_WH","FY2026-06","2026-06-01","1003","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"SF_WH","FY2026-07","2026-07-01","1004","239","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"SF_WH","FY2026-08","2026-08-01","1005","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"SF_WH","FY2026-09","2026-09-01","1006","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"SF_WH","FY2026-10","2026-10-01","1007","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"SF_WH","FY2026-11","2026-11-01","1008","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"SF_WH","FY2026-12","2026-12-01","1009","239","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"SF_WH","FY2027-01","2027-01-01","1010","241","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"SF_WH","FY2027-02","2027-02-01","1011","239","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"SF_WH","FY2027-03","2027-03-01","1012","239","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
